ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,CONDICAO
2,27044327,3,1,604409,2,17848465,12,5,7,CDBDBCBDDAACD,CCABBBCDDCABC,1,270915231,1.184.210.526.300.000,282.923.304.000.000.000,22.791.606.000.000.000,A,B,I,C,C,B,B,B,B,A,B,B,B,C,E,B,G,A,A,B,G,A,A,B,C,B,B,B,B,B,B,C,C,B,A,D,A,B,A,A,A,A,B,A,A,B,B,B,C,'ABAIXO DA MEDIA'
2,27044270,3,2,604385,2,17847704.614663,14.818505,5.062017,6.652682,CAADACBDCCADA,CCBADBCDBDDCC,1,270915232,1.031.250.000.000.000,372.249.361.000.000.000,17.960.273.000.000.000,B,B,H,C,B,B,B,B,A,A,A,A,A,D,E,A,C,A,A,A,G,A,A,B,C,B,B,B,A,B,A,B,C,C,B,B,C,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2,27044459,3,2,604416,2,17848727.572925,9.846324,5.542038,3.712487,BDCABAAABCCAC,ABADACBDDDBCC,1,270915232,1.166.666.666.700.000,287.128.867.000.000.000,24.670.147.000.000.000,A,B,A,B,B,B,B,B,A,A,A,A,A,C,E,A,B,A,A,A,B,B,B,A,B,A,B,B,A,B,A,B,C,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2,27044297,3,1,604398,2,17848139,7,7,1,BBCCACBCDBDBD,CDAADDCCBCDCC,1,270915231,0.972972973000000,227.240.349.000.000.000,30.060.627.000.000.000,B,B,K,C,B,A,A,B,A,A,B,A,A,C,D,A,C,A,A,A,B,B,B,A,B,B,A,B,A,C,A,B,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,'ABAIXO DA MEDIA'
2,27044270,3,2,604385,2,17847686.726166,12.584148,5.369056,4.168226,ABCCDDACCCADC,AADCBCAACBCBB,1,270915232,1.031.250.000.000.000,347.741.916.000.000.000,17.789.410.000.000.000,B,B,B,C,B,B,B,B,A,A,A,A,A,D,D,A,D,A,A,A,D,A,A,A,B,B,B,B,B,B,A,B,B,C,A,B,B,B,A,A,A,A,A,A,A,A,A,B,A,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847704.968695,17.934874,5.233336,3.266046,CAADACBDCCADA,CCBADBCDBDDCC,1,270915232,1.031.250.000.000.000,372.249.361.000.000.000,17.960.273.000.000.000,B,B,H,C,B,B,B,B,A,A,A,A,A,D,E,A,C,A,A,A,G,A,A,B,C,B,B,B,A,B,A,B,C,C,B,B,C,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2,27044459,3,2,604416,2,17848715.059879,3.419097,4.707022,4.135517,CBACBAACCDADC,CBCCDBACDDDDB,1,270915232,1.166.666.666.700.000,270.757.613.000.000.000,24.008.438.000.000.000,A,B,A,C,B,B,B,B,A,A,A,A,A,E,E,A,B,A,A,A,B,B,B,A,B,A,B,B,A,B,A,B,C,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,D,'ACIMA DA MEDIA'
2,27044459,3,2,604416,2,17848724.955527,11.264156,4.507078,4.128709,BDCABAAABCCAC,ABADACBDDDBCC,1,270915232,1.166.666.666.700.000,287.128.867.000.000.000,24.670.147.000.000.000,A,B,A,B,B,B,B,B,A,A,A,A,A,C,E,A,B,A,A,A,B,B,B,A,B,A,B,B,A,B,A,B,C,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,C,'ACIMA DA MEDIA'
2,27044459,3,2,604416,2,17848718.857642,5.792177,2.244443,4,ACADDBADBACDC,CBBCBAACAAADC,1,270915232,1.166.666.666.700.000,254.779.449.000.000.000,25.738.696.000.000.000,A,B,K,C,B,B,B,B,A,A,A,A,A,C,D,A,B,A,A,A,B,B,B,A,C,A,B,B,B,C,C,C,C,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,'ACIMA DA MEDIA'
2,27044297,3,1,604397,2,17848109,9,2,4,BDCCBCAAABCAA,DBCABBABCADCC,1,270915231,1.032.258.064.500.000,256.011.540.000.000.000,25.755.296.000.000.000,B,C,K,D,C,A,B,B,A,A,A,A,A,C,E,A,D,A,A,C,G,A,A,B,C,A,A,A,B,C,B,B,C,C,C,A,D,B,A,A,A,A,A,A,B,B,A,B,C,'ABAIXO DA MEDIA'
