@relation 'ALUNO ORD TOTAL. IDEB-EXCLUIDOS ALUNOS S RESP APSOCIOestevam'

@attribute TX_RESP_Q001 {A,B}
@attribute TX_RESP_Q002 {B,A,C,F,D,E}
@attribute TX_RESP_Q003 {G,C,I,B,A,H,J,E,F,K,L,D}
@attribute TX_RESP_Q004 {E,C,D,F,G,A,H,B}
@attribute TX_RESP_Q005 {A,C,E,D,B}
@attribute TX_RESP_Q006 {B,A,C,E,D}
@attribute TX_RESP_Q007 {B,C,A,D,E}
@attribute TX_RESP_Q008 {B,C,D,E,A}
@attribute TX_RESP_Q009 {A,B,C,D,E}
@attribute TX_RESP_Q010 {A,B,C,D,E}
@attribute TX_RESP_Q011 {B,A,C,D,E}
@attribute TX_RESP_Q012 {A,B,C,D,E}
@attribute TX_RESP_Q013 {B,A,C,D,E}
@attribute TX_RESP_Q014 {B,D,A,C,E}
@attribute TX_RESP_Q015 {B,D,C,E,A}
@attribute TX_RESP_Q016 {D,F,E,C,B,A}
@attribute TX_RESP_Q017 {A,B,C,D,E}
@attribute TX_RESP_Q018 {A,B,C}
@attribute TX_RESP_Q019 {G,C,E,A,B,D,F}
@attribute TX_RESP_Q020 {A,B}
@attribute TX_RESP_Q021 {A,B}
@attribute TX_RESP_Q022 {A,B,C}
@attribute TX_RESP_Q023 {G,B,C,F,A,D,E}
@attribute TX_RESP_Q024 {A,B}
@attribute TX_RESP_Q025 {A,B}
@attribute TX_RESP_Q026 {A,B,C}
@attribute TX_RESP_Q027 {A,B}
@attribute TX_RESP_Q028 {A,B}
@attribute TX_RESP_Q029 {A,B}
@attribute TX_RESP_Q030 {A,B}
@attribute TX_RESP_Q031 {B,A}
@attribute TX_RESP_Q032 {C,B,A}
@attribute TX_RESP_Q033 {C,A,B}
@attribute TX_RESP_Q034 {C,B,A}
@attribute TX_RESP_Q035 {C,B,A}
@attribute TX_RESP_Q036 {C,B,A}
@attribute TX_RESP_Q037 {C,B,A}
@attribute TX_RESP_Q038 {C,B,A}
@attribute TX_RESP_Q039 {C,B,A}
@attribute TX_RESP_Q040 {A,B,D,C,E}
@attribute TX_RESP_Q041 {B,A,D,E,C}
@attribute TX_RESP_Q042 {B,A}
@attribute TX_RESP_Q043 {A,B,D,C}
@attribute TX_RESP_Q044 {A,C,B}
@attribute TX_RESP_Q045 {B,A,C}
@attribute TX_RESP_Q046 {A,B,C}
@attribute TX_RESP_Q047 {B,A,D,C}
@attribute TX_RESP_Q048 {B,A,D,C}
@attribute TX_RESP_Q049 {B,A,C,D}
@attribute TX_RESP_Q050 {B,A,C,D}
@attribute TX_RESP_Q051 {B,C,A,D}
@attribute 'CLASSIFICADOR IDEB' {'ABAIXO DA M�DIA','ACIMA DA M�DIA '}

@data
A,B,G,E,A,?,B,B,A,A,B,A,B,B,B,D,A,A,G,A,A,A,G,A,?,A,A,A,A,A,B,C,C,C,C,C,C,C,C,A,B,B,A,A,B,A,B,B,B,B,B,'ABAIXO DA M�DIA'
B,B,C,C,C,B,B,B,B,A,B,A,B,B,D,F,A,A,C,A,A,B,G,A,A,A,A,A,A,A,A,B,A,B,B,C,B,B,C,B,B,B,A,A,A,A,A,B,A,B,B,'ABAIXO DA M�DIA'
A,B,I,D,E,A,B,B,B,A,B,A,A,B,C,D,A,A,G,A,A,B,G,A,A,A,A,A,A,A,B,C,C,B,A,B,C,C,C,D,A,B,A,A,A,A,B,A,B,A,C,'ABAIXO DA M�DIA'
A,B,B,E,C,C,C,B,B,A,B,A,A,B,B,D,A,A,C,A,A,B,B,B,B,B,A,A,A,A,A,C,A,C,B,B,C,C,C,D,D,B,A,C,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,A,A,C,D,A,A,B,B,A,B,A,B,B,C,E,B,A,E,A,A,C,G,A,B,B,A,A,A,A,A,B,A,C,B,A,C,B,C,B,A,B,A,C,B,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,B,C,D,C,C,C,C,A,A,A,A,D,D,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,C,B,B,E,B,B,A,A,A,A,A,A,A,B,'ABAIXO DA M�DIA'
B,B,H,D,A,A,B,?,?,A,B,A,B,A,C,D,A,A,G,A,B,A,G,A,B,A,B,A,B,A,A,C,B,C,A,C,C,C,C,C,A,B,B,A,A,A,A,B,B,A,B,'ABAIXO DA M�DIA'
B,B,C,C,B,C,B,B,B,A,A,A,A,B,D,F,A,A,A,B,B,B,G,A,B,A,A,A,A,A,A,C,B,C,B,C,B,B,C,A,A,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
A,B,J,D,C,C,B,B,A,B,B,A,B,B,C,E,A,A,C,A,A,C,G,A,B,B,A,A,A,A,A,C,B,C,C,A,C,B,B,C,A,B,B,A,A,B,A,B,A,A,B,'ABAIXO DA M�DIA'
A,B,E,E,D,B,B,B,C,C,B,B,B,B,C,F,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,C,B,C,A,B,A,E,B,A,A,B,A,A,A,A,A,B,'ABAIXO DA M�DIA'
A,B,F,C,B,A,B,B,A,A,A,A,A,C,D,E,A,A,B,A,B,B,G,A,B,A,A,A,A,A,A,C,C,C,B,C,C,C,C,B,E,B,A,A,A,A,A,A,A,A,C,'ABAIXO DA M�DIA'
