ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,IDEB,CLASSIFICADOR IDEB
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826675,1,1,16,2,5,CBDADCABBCC,BABBACBCACB,BBCDDBDDBCA,DCADCCACADD,1,1,270430231,1.140.211.199,1.140.211.199,-2.283.988,0.458631,12.415.241,25.267.524,-1.825.144,0.49274,147.952.834,27.540.386,1,A,B,G,E,A,,B,B,A,A,B,A,B,B,B,D,A,A,G,A,A,A,G,A,,A,A,A,A,A,B,C,C,C,C,C,C,C,C,A,B,B,A,A,B,A,B,B,B,B,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826676,1,1,17,3,6,DCCBABADBDC,DCABCBABBDC,ADCCCBCBBDD,DABADCDCBDB,1,1,270430231,1.140.211.199,1.140.211.199,-0.718073,0.317801,210.423.934,17.508.726,-0.854685,0.413994,202.194.047,23.139.088,1,B,B,C,C,C,B,B,B,B,A,B,A,B,B,D,F,A,A,C,A,A,B,G,A,A,A,A,A,A,A,A,B,A,B,B,C,B,B,C,B,B,B,A,A,A,A,A,B,A,B,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826677,1,1,17,3,6,ACDDABADBAC,DCDCBBDABAA,BAB*CCDDCBC,DDABCADCBDB,1,1,270430231,1.140.211.199,1.140.211.199,-0.25769,0.351668,235.787.981,19.374.573,-0.642217,0.360568,214.069.378,20.152.985,1,A,B,I,D,E,A,B,B,B,A,B,A,A,B,C,D,A,A,G,A,A,B,G,A,A,A,A,A,A,A,B,C,C,B,A,B,C,C,C,D,A,B,A,A,A,A,B,A,B,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826678,1,1,7,7,1,CBDDADAAAAA,DBBDCABADCC,ACCABBDBCBB,BABDCCDCABD,1,1,270430231,1.140.211.199,1.140.211.199,-0.949798,0.357159,197.657.424,1.967.709,-1.410.909,0.463803,171.105.393,25.923.029,1,A,B,B,E,C,C,C,B,B,A,B,A,A,B,B,D,A,A,C,A,A,B,B,B,B,B,A,A,A,A,A,C,A,C,B,B,C,C,C,D,D,B,A,C,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826679,1,1,13,6,1,BDCCBDDACAB,DBCCCDDADDB,ADAADAABBAC,CBACADBCBDC,1,1,270430231,1.140.211.199,1.140.211.199,-0.829371,0.312212,204.292.153,17.200.809,-1.843.889,0.471503,146.905.132,263.534,1,B,A,A,C,D,A,A,B,B,A,B,A,B,B,C,E,B,A,E,A,A,C,G,A,B,B,A,A,A,A,A,B,A,C,B,A,C,B,C,B,A,B,A,C,B,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826680,1,1,14,7,2,CCDCCBCDDDB,DBBDADDCABD,ACCACDDCDCC,ABACBACDBAD,1,1,270430231,1.140.211.199,1.140.211.199,-1.736.943,0.363494,154.290.959,20.026.107,-1.421.064,0.451853,170.537.806,25.255.116,1,B,B,B,C,D,C,C,C,C,A,A,A,A,D,D,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,A,B,A,B,A,A,B,C,B,B,E,B,B,A,A,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826681,1,1,10,3,5,CBACDAADBDA,BAADDDBDABC,ABADCDBADBC,DCBDDCCDDCD,1,1,270430231,1.140.211.199,1.140.211.199,-1.150.254,0.354334,186.613.629,19.521.452,-2.084.817,0.556191,133.439.106,3.108.681,1,B,B,H,D,A,A,B,,,A,B,A,B,A,C,D,A,A,G,A,B,A,G,A,B,A,B,A,B,A,A,C,B,C,A,C,C,C,C,C,A,B,B,A,A,A,A,B,B,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826682,1,1,10,3,5,ABCDABADCDC,AACDDADDABA,AACBBDDBCBC,BBACCDDCBCA,1,1,270430231,1.140.211.199,1.140.211.199,-0.575367,0.336493,218.286.087,18.538.531,-0.584712,0.348896,217.283.466,1.950.061,1,B,B,C,C,B,C,B,B,B,A,A,A,A,B,D,F,A,A,A,B,B,B,G,A,B,A,A,A,A,A,A,C,B,C,B,C,B,B,C,A,A,B,A,A,A,A,A,A,A,A,C,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826683,1,1,15,1,4,DBBACDCCDDA,BCCADBACCAB,ACABBCBCCDD,CACCBDDCBCB,1,1,270430231,1.140.211.199,1.140.211.199,-0.624829,0.383055,215.561.059,21.103.788,-1.198.127,0.485865,182.998.274,27.156.126,1,A,B,J,D,C,C,B,B,A,B,B,A,B,B,C,E,A,A,C,A,A,C,G,A,B,B,A,A,A,A,A,C,B,C,C,A,C,B,B,C,A,B,B,A,A,B,A,B,A,A,B,4.9,ABAIXO DA MÉDIA
2015,2,27,2704302,1,27034755,3,1,603737,1,5,17826684,1,1,13,6,1,DDABBBDADBC,DBBCAAABACC,CDABDCAACCD,DBDCCDACADD,1,1,270430231,1.140.211.199,1.140.211.199,-1.776.214,0.375308,152.127.388,2.067.698,-1.358.991,0.424274,17.400.721,23.713.662,1,A,B,E,E,D,B,B,B,C,C,B,B,B,B,C,F,A,A,G,A,A,A,G,A,A,B,A,A,A,A,A,C,A,C,C,B,C,A,B,A,E,B,A,A,B,A,A,A,A,A,B,4.9,ABAIXO DA MÉDIA
