ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837050,1,1,19,5,1,BAABBDDADBB,CBDACADABBB,ABBCBDDCACA,BCCABDBCBDD,1,1,270430231,1.02986818,1.02986818,-1.363674,0.358557,174.855604,19.754111,-0.883271,0.391766,200.596309,21.896714,1,B,F,K,D,B,B,B,B,A,A,B,A,B,A,B,B,A,A,C,A,A,B,G,A,A,B,A,A,A,A,A,C,B,C,C,C,C,C,C,D,A,B,C,A,A,A,B,B,B,B,C
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837051,1,1,6,6,7,DCADBBABBAB,DCDDCABDDDB,DDBCADABABB,DBCCCADACBA,1,1,270430231,1.02986818,1.02986818,-1.160697,0.380362,186.038289,20.955422,-1.825094,0.512255,147.955629,28.631124,1,B,B,C,D,A,B,B,,A,A,B,A,A,C,D,E,A,A,C,A,A,B,G,A,B,A,A,A,A,A,A,B,C,C,A,A,C,C,B,E,E,B,B,A,B,A,A,A,A,A,B
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837052,1,1,2,2,3,DADABACDBDC,ACDBCDBDCCB,BCADCADDACA,AAAABCDACDA,1,1,270430231,1.02986818,1.02986818,-2.362706,0.448992,119.815571,24.736479,-1.26189,0.430164,179.434411,24.042867,1,B,B,J,E,C,B,B,B,A,A,B,A,A,B,C,E,A,A,G,A,A,A,G,A,A,B,A,A,A,B,A,C,A,C,A,C,C,B,B,A,C,B,A,A,B,A,A,A,A,A,B
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837053,1,1,15,1,4,DBAABBCBADD,BDACDBACBCA,DABCBCACBBC,DBACCBBCDAB,1,1,270430231,1.02986818,1.02986818,-1.200975,0.476062,183.819239,26.227856,-1.103914,0.573368,188.264058,32.046872,1,B,A,J,E,C,C,A,C,B,B,B,B,B,B,D,D,A,A,D,A,A,B,B,A,A,A,A,A,A,A,A,,,C,B,A,A,B,C,A,B,B,A,A,B,B,,,,,
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837054,1,1,12,5,7,BADCCADAAAC,CBDBCDADACC,BBACADCDABB,BCACADDDBBC,1,1,270430231,1.02986818,1.02986818,-1.539293,0.401344,165.180162,22.111391,-0.60103,0.345308,216.371415,19.300068,1,,B,F,D,B,A,B,B,B,B,B,A,B,D,D,F,A,,F,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,C,A,B,A,A,B,B,B,A,B,B,B,A
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837055,1,1,8,1,3,DBBACDDAACD,ABCAABBDADC,CBBBBBCCABD,CCDCABDBCDA,1,1,270430231,1.02986818,1.02986818,-0.83942,0.340771,203.738519,18.77422,-0.176591,0.331928,240.094299,18.552229,1,A,B,J,F,D,B,B,B,B,B,A,B,B,C,E,F,A,C,G,A,A,A,F,A,A,B,A,A,A,A,A,B,A,B,B,B,C,B,C,D,A,B,A,C,C,A,A,A,A,A,D
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837056,1,1,9,2,4,ACCDCDAABCA,BDDADBACBAA,BADBBACAABA,ABDCCCDABCB,1,1,270430231,1.02986818,1.02986818,-0.286367,0.374333,234.208069,20.623264,-1.185074,0.483818,183.727836,27.041714,1,B,B,L,E,C,A,A,B,B,A,B,A,B,B,C,D,A,A,E,A,A,A,E,A,A,A,A,A,A,A,A,A,A,B,A,C,B,C,A,A,A,B,A,B,B,A,A,A,A,A,B
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837057,1,1,5,5,6,BDBDDDDDCBA,DACABBBABCC,CAACBDACCAA,CABCCCDBCCB,1,1,270430231,1.02986818,1.02986818,-1.081523,0.325388,190.400251,17.926719,-0.368835,0.324421,229.349334,18.132645,1,A,B,H,G,B,C,B,C,B,A,B,A,A,B,D,F,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,B,C,A,A,B,C,A,B,B,A,A,B,A,B,A,A,A,A
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837058,1,1,14,7,2,CADDADBCBAB,BCDDCACBCDA,ACCBCBDDCDC,ABADBACBCDD,1,1,270430231,1.02986818,1.02986818,-0.955256,0.316938,197.356725,17.46118,-0.953036,0.386447,196.69698,21.599422,1,A,B,J,E,B,B,B,B,B,A,B,B,B,C,C,C,A,A,B,A,A,A,F,A,A,B,A,A,A,A,A,C,A,A,A,A,C,C,B,D,E,B,A,A,B,A,A,A,A,A,C
2015,2,27,2704302,1,27038980,3,1,604065,2,5,17837059,1,1,21,7,3,CADABAACDBB,ACACBCACAAC,ABDBADADDCA,ACBABDAABBB,1,1,270430231,1.02986818,1.02986818,-1.722598,0.370946,155.081273,20.436663,-2.038184,0.570663,136.045533,31.895684,1,B,A,K,C,B,B,B,B,B,B,B,A,B,B,C,D,A,A,G,A,A,A,A,B,A,C,A,A,A,A,A,C,B,B,A,C,B,C,C,A,E,B,A,A,A,A,C,B,A,B,B
