ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830680,1,1,8,1,3,CBCACDCBDCC,BBDDABADBDB,DBBDBCCCACD,DCCBBBCCCAB,1,1,270430231,1.129532842,1.129532842,-0.453356,0.381144,225.008083,20.998505,0.056776,0.351205,253.137724,19.629665,1,A,B,K,E,E,C,B,D,C,C,C,D,C,C,D,D,C,B,F,A,A,B,C,A,A,B,A,A,A,A,A,A,B,B,A,A,B,A,B,D,A,B,A,C,B,B,A,A,A,A,A
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830681,1,1,2,2,3,BCBDCABADCA,CADDABADB.D,AAABAACBABB,CCABCBCCCCC,1,1,270430231,1.129532842,1.129532842,-0.690575,0.330815,211.938891,18.225711,0.072886,0.329226,254.038149,18.401208,1,A,B,L,E,C,A,C,B,A,A,B,C,C,B,D,D,A,A,G,A,A,A,C,A,A,,A,A,A,A,A,A,B,C,B,A,C,A,B,A,E,B,B,C,A,A,A,A,B,A,C
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830682,1,1,7,7,1,CDDDADBACDD,DBABCDAADDB,BCABBBDBBAC,CBCADACCBDD,1,1,270430231,1.129532842,1.129532842,-0.606268,0.339576,216.583647,18.708384,-0.108588,0.313323,243.895145,17.512352,1,A,E,H,D,B,B,B,B,A,A,A,A,A,B,C,F,A,A,E,A,A,A,C,A,A,A,A,A,A,A,A,C,B,C,C,A,B,A,C,C,E,A,C,A,A,A,A,A,A,A,C
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830683,1,1,17,3,6,ACADABADBDD,DABDBBDAADB,ADBACADAABA,DBABDADCBDB,1,1,270430231,1.129532842,1.129532842,-0.984755,0.308664,195.731526,17.005338,-0.992204,0.408632,194.50779,22.839394,1,B,A,D,F,A,B,B,B,A,A,B,B,B,B,D,E,A,A,E,A,A,B,E,A,A,B,A,A,A,B,A,B,B,B,A,B,B,B,B,A,A,A,A,B,B,A,D,D,D,D,B
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830684,1,1,16,2,5,DCCADDCBADA,CCDDBDDCCAC,AABADADBACB,CACACDBCBCD,1,1,270430231,1.129532842,1.129532842,-1.821962,0.421734,149.606977,23.234744,-1.281039,0.445091,178.364129,24.877172,1,A,B,B,E,B,B,B,B,A,B,B,A,A,B,C,E,A,A,D,A,,B,G,B,B,A,B,A,B,A,,,,,C,,,C,,C,C,B,B,B,C,A,A,A,A,A,A
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830685,1,1,14,7,2,CABDCDAADDB,ADCACDACBAC,ACCBADDDBBC,CDABAACBABC,1,1,270430231,1.129532842,1.129532842,-1.250356,0.333895,181.098673,18.395398,-0.029246,0.329744,248.329754,18.43016,1,A,D,L,G,C,B,B,B,B,A,B,B,A,B,B,B,A,A,F,A,A,B,G,A,B,C,A,B,B,B,B,C,C,C,C,B,C,A,C,D,C,A,D,C,A,B,B,B,D,A,A
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830686,1,1,9,2,4,CBDADDAABCD,ADDCDBAAACA,DBABDACACCC,ABCBCDDBBAB,1,1,270430231,1.129532842,1.129532842,-1.798192,0.426777,150.916546,23.51258,-0.901981,0.457823,199.550563,25.588793,1,A,B,K,E,C,B,A,B,B,A,B,A,B,C,E,E,A,B,B,A,B,B,B,B,B,,,,,,,B,C,A,B,C,B,A,C,A,D,B,A,B,C,B,D,A,C,B,B
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830687,1,1,14,7,2,CBADBDAACDB,ABABCABDCCA,BCABABDBCDC,AACDBACBDCD,1,1,270430231,1.129532842,1.129532842,-0.488113,0.332506,223.093203,18.318874,-0.839529,0.39004,203.041151,21.800244,1,B,A,E,D,D,B,D,C,B,B,B,B,B,B,D,E,B,A,C,A,A,A,F,A,A,A,A,A,A,A,A,C,B,B,A,A,A,B,A,C,A,B,A,A,A,A,A,A,A,A,B
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830688,1,1,11,4,6,BDDDDBACBAB,DCCDBBDABBC,DAADCCDCACC,DDBCBCBACBC,1,1,270430231,1.129532842,1.129532842,-0.691936,0.313346,211.863909,17.263285,-1.404322,0.455225,171.473555,25.443585,1,A,B,D,E,D,B,B,B,B,A,B,A,A,B,C,D,A,A,C,A,A,A,D,A,A,A,A,A,A,A,A,,,,B,,,B,,B,A,B,C,C,B,A,A,A,A,A,A
2015,2,27,2704302,1,27036278,3,1,603862,1,5,17830689,1,1,13,6,1,DCADBBDAADC,CCAACACADBA,DBABDADCBDB,DCCDBCCABCD,1,1,270430231,1.129532842,1.129532842,-1.558428,0.375672,164.125951,20.697034,-0.339999,0.409857,230.961045,22.907862,1,A,B,H,G,B,B,B,B,A,A,B,A,A,B,C,B,A,A,C,A,A,A,D,B,B,A,A,A,A,A,B,C,C,C,C,B,C,B,C,D,E,B,C,A,C,A,B,B,B,B,C
