ID_ESCOLA,ID_LOCALIZACAO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q005,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q012,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q038,TX_RESP_Q044,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
27036049,1,17829328,DDB*BBBDACC,DBABCDCBAAC,DDCDCABBBBC,ACCCDCBDDDA,270430231,1.127.950.863,-1.916.612,0.527079,142.840.475,29.459.672,1,B,A,C,B,A,A,?,A,?,A,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829329,BCCDADDDCAC,AABDBDAADAA,BDCCCADCACB,BDCCABDBBAC,270430231,1.127.950.863,-1.092.389,0.38214,188.908.217,21.358.694,1,C,D,B,A,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829330,BDBADAADAAD,CACBBDAACAA,AAABCACCACC,DCABABDBCDB,270430231,1.127.950.863,-0.786473,0.416001,206.006.574,23.251.264,1,C,A,B,B,A,A,B,A,?,?,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829331,AAADABACBAB,DAABDCDAABA,AABDDBCAABC,ABACDAAABBA,270430231,1.127.950.863,-2.217.638,0.555339,126.015.431,31.039.189,1,B,A,B,B,B,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829332,BADCDBACBBB,BCCADACCCDA,AADABDCDACB,CBACCCDDAAA,270430231,1.127.950.863,-0.544648,0.349161,219.522.736,19.515.421,1,C,B,B,B,A,B,A,A,B,A,A,A,C,'ACIMA DA M?DIA '
27036049,1,17829333,DBBACDDCDCB,BDDADAACADC,ABBBACCCBDD,AADAACDDCAC,270430231,1.127.950.863,-0.855497,0.440863,202.148.662,24.640.859,1,D,D,B,B,A,E,A,A,?,C,B,B,C,'ACIMA DA M?DIA '
27036049,1,17829334,ADCBABABBCC,ADAABADADAA,BABDBBBCCBD,BBACAADDBCB,270430231,1.127.950.863,-1.007.684,0.381747,193.642.576,21.336.728,1,C,C,B,A,A,A,A,A,?,C,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829335,ACADADCDDBA,BCDADBAABDB,CAADDACBBCB,DADCCDDABCC,270430231,1.127.950.863,-110.715,0.473932,18.808.319,26.489.163,1,?,A,B,B,B,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829336,ACCCDDBBDBA,DBBACBCDDAD,DBACCDDDABB,CBCACDCCBCD,270430231,1.127.950.863,-0.700999,0.358607,210.783.915,2.004.338,1,C,B,B,A,A,A,A,A,C,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829337,BCDADBACCAB,BAADDAADABA,BAAAADCCCCC,CBACBDCDBDB,270430231,1.127.950.863,-0.248967,0.367006,236.049.036,2.051.282,1,D,B,B,B,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829338,DCBDCBAACAA,BCDBABADADA,CAABAADBABD,ACCBCBAACCD,270430231,1.127.950.863,0.482661,0.331103,276.941.428,18.506.117,1,C,B,B,A,A,B,?,?,?,?,?,?,?,'ACIMA DA M?DIA '
27036049,1,17829339,DBBDABADBDB,CCBCCBABBBB,CCADBBDDCCD,DCCCCBCCADC,270430231,1.127.950.863,0.349771,0.367571,269.513.896,20.544.399,1,D,C,D,C,A,B,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829340,CAAAABDCCAB,ABAACAAADCB,CCCCABDBDBD,BBDABDBABDD,270430231,1.127.950.863,-0.933378,0.370796,197.795.712,20.724.652,1,D,C,B,B,A,A,A,A,A,C,A,A,A,'ACIMA DA M?DIA '
27036049,1,17829341,DBDACBAADCB,ACCDCBDAACA,CBCAAAAAADD,AAAADADDDAA,270430231,1.127.950.863,-1.154.403,0.385226,18.544.211,21.531.178,1,?,B,B,B,A,B,A,A,C,C,B,A,D,'ACIMA DA M?DIA '
27036049,1,17829343,BABDBDABABB,DCBCBBDBBCC,BBADBDCDBCA,DDCCCABBADB,270430231,1.127.950.863,-0.27656,0.346509,234.506.799,19.367.195,1,D,B,B,B,A,A,A,A,B,A,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829344,CBDAADAACDB,DCCDCBADACA,BDAADBDBCAC,BAAAAADBBBB,270430231,1.127.950.863,-0.453252,0.348041,224.631.072,19.452.822,1,B,B,B,B,A,A,A,A,B,C,A,A,B,'ACIMA DA M?DIA '
27036049,1,17829345,DDABAABCADC,ACDDCBAABBD,DCBCCACBDBC,AACDCDBBCAC,270430231,1.127.950.863,-1.667.116,0.588743,156.785.387,32.906.217,1,C,B,B,B,B,A,A,A,A,A,B,B,B,'ACIMA DA M?DIA '
27036049,1,17829346,BACDCBAACAA,BCBDADCBDBA,CAAAAACCACA,AAACCDDDACA,270430231,1.127.950.863,-0.306287,0.326309,232.845.288,1.823.817,1,B,B,B,B,A,B,A,A,A,C,A,A,B,'ACIMA DA M?DIA '
