ID_DEPENDENCIA_ADM,PROFICIENCIA_MT,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q027,TX_RESP_Q051,'CLASSIFICADOR IDEB'
3,-1.916.612,1,?,A,'ACIMA DA M?DIA '
3,-1.092.389,1,A,B,'ACIMA DA M?DIA '
3,-0.786473,1,A,B,'ACIMA DA M?DIA '
3,-2.217.638,1,A,A,'ACIMA DA M?DIA '
3,-0.544648,1,A,C,'ACIMA DA M?DIA '
3,-0.855497,1,A,C,'ACIMA DA M?DIA '
3,-1.007.684,1,A,A,'ACIMA DA M?DIA '
3,-110.715,1,A,B,'ACIMA DA M?DIA '
3,-0.700999,1,A,B,'ACIMA DA M?DIA '
3,-0.248967,1,A,B,'ACIMA DA M?DIA '
3,0.482661,1,A,?,'ACIMA DA M?DIA '
3,0.349771,1,A,B,'ACIMA DA M?DIA '
3,-0.933378,1,A,A,'ACIMA DA M?DIA '
3,-1.154.403,1,A,D,'ACIMA DA M?DIA '
3,-0.27656,1,A,B,'ACIMA DA M?DIA '
3,-0.453252,1,A,B,'ACIMA DA M?DIA '
3,-1.667.116,1,A,B,'ACIMA DA M?DIA '
3,-0.306287,1,A,B,'ACIMA DA M?DIA '
3,-0.939386,1,A,A,'ACIMA DA M?DIA '
3,-1.373.842,1,B,D,'ACIMA DA M?DIA '
3,-1.822.325,1,A,D,'ACIMA DA M?DIA '
3,0.114138,1,A,D,'ACIMA DA M?DIA '
3,-0.616288,1,A,A,'ACIMA DA M?DIA '
3,-0.184471,1,A,A,'ACIMA DA M?DIA '
3,0.375932,1,A,B,'ACIMA DA M?DIA '
3,-0.454064,1,A,A,'ACIMA DA M?DIA '
3,-0.523326,1,A,C,'ACIMA DA M?DIA '
3,-0.873325,1,A,B,'ACIMA DA M?DIA '
3,-0.570017,1,A,C,'ACIMA DA M?DIA '
3,-1.421.168,1,A,D,'ACIMA DA M?DIA '
3,-0.457181,1,A,D,'ACIMA DA M?DIA '
3,-1.820.462,1,A,A,'ACIMA DA M?DIA '
3,-194.123,1,A,A,'ACIMA DA M?DIA '
3,-1.483.084,1,A,B,'ACIMA DA M?DIA '
3,0.308038,1,A,B,'ACIMA DA M?DIA '
3,0.11632,1,A,A,'ACIMA DA M?DIA '
3,-1.737.163,1,A,A,'ACIMA DA M?DIA '
3,-0.871285,1,A,A,'ACIMA DA M?DIA '
3,-0.17632,1,A,C,'ACIMA DA M?DIA '
3,-0.083095,1,A,D,'ACIMA DA M?DIA '
3,0.078506,1,A,B,'ACIMA DA M?DIA '
3,-0.785861,1,A,A,'ACIMA DA M?DIA '
3,-0.825902,1,A,A,'ACIMA DA M?DIA '
3,0.253542,1,A,B,'ACIMA DA M?DIA '
3,0.114909,1,A,B,'ACIMA DA M?DIA '
3,-1.528.039,1,A,A,'ACIMA DA M?DIA '
3,0.377456,1,A,B,'ACIMA DA M?DIA '
3,-0.28405,1,A,B,'ACIMA DA M?DIA '
3,0.039118,1,A,B,'ACIMA DA M?DIA '
3,-1.240.502,1,A,B,'ACIMA DA M?DIA '
3,-0.270502,1,A,B,'ACIMA DA M?DIA '
3,-0.251711,1,A,B,'ACIMA DA M?DIA '
3,-0.708545,1,A,D,'ACIMA DA M?DIA '
3,-0.08948,1,A,A,'ACIMA DA M?DIA '
3,-0.446727,1,A,B,'ACIMA DA M?DIA '
3,-0.947814,1,A,A,'ACIMA DA M?DIA '
3,0.52038,1,A,B,'ACIMA DA M?DIA '
3,-0.635379,1,A,C,'ACIMA DA M?DIA '
3,-117.703,1,A,A,'ACIMA DA M?DIA '
3,-1.907.639,1,A,A,'ACIMA DA M?DIA '
3,0.109302,1,A,A,'ACIMA DA M?DIA '
3,0.139372,1,A,B,'ACIMA DA M?DIA '
3,-0.713767,1,A,A,'ACIMA DA M?DIA '
3,-0.512667,1,A,A,'ACIMA DA M?DIA '
3,0.140274,1,A,B,'ACIMA DA M?DIA '
3,-0.836569,1,A,C,'ACIMA DA M?DIA '
3,-0.503901,1,A,B,'ACIMA DA M?DIA '
3,-0.305631,1,A,B,'ACIMA DA M?DIA '
3,-1.164.487,1,A,B,'ACIMA DA M?DIA '
3,0.871766,1,A,C,'ACIMA DA M?DIA '
3,-1.367.739,1,?,B,'ACIMA DA M?DIA '
3,0.117137,1,A,B,'ACIMA DA M?DIA '
3,-1.011.116,1,A,B,'ACIMA DA M?DIA '
3,-1.148.582,1,A,B,'ACIMA DA M?DIA '
3,-0.303438,1,?,?,'ACIMA DA M?DIA '
3,-0.246477,1,A,A,'ACIMA DA M?DIA '
3,-0.618386,1,A,A,'ACIMA DA M?DIA '
3,0.134842,1,A,A,'ACIMA DA M?DIA '
3,-1.765.638,1,A,B,'ACIMA DA M?DIA '
3,0.182751,1,A,B,'ACIMA DA M?DIA '
3,-0.241093,1,A,B,'ACIMA DA M?DIA '
3,-0.596315,1,A,B,'ACIMA DA M?DIA '
3,-102.001,1,A,B,'ACIMA DA M?DIA '
3,-0.597634,1,A,B,'ACIMA DA M?DIA '
3,-0.0796,1,A,B,'ACIMA DA M?DIA '
3,0.50197,1,A,C,'ACIMA DA M?DIA '
3,-0.397218,1,B,B,'ACIMA DA M?DIA '
3,-1.034.305,1,A,A,'ACIMA DA M?DIA '
3,-0.855793,1,A,B,'ACIMA DA M?DIA '
3,-0.325207,1,A,C,'ACIMA DA M?DIA '
3,-2.083.062,1,?,?,'ACIMA DA M?DIA '
3,-0.554719,1,A,B,'ACIMA DA M?DIA '
3,-1.366.606,1,A,A,'ACIMA DA M?DIA '
3,-1.543.817,1,A,A,'ACIMA DA M?DIA '
3,-2.289.011,1,A,A,'ACIMA DA M?DIA '
3,-1.232.668,1,A,C,'ACIMA DA M?DIA '
3,-0.811574,1,A,A,'ACIMA DA M?DIA '
3,0.153656,1,A,A,'ACIMA DA M?DIA '
3,-0.802493,1,A,B,'ACIMA DA M?DIA '
3,1.369.621,1,A,C,'ACIMA DA M?DIA '
3,-1.556.337,1,A,B,'ACIMA DA M?DIA '
3,-0.510809,1,A,B,'ACIMA DA M?DIA '
3,-0.850505,1,A,A,'ACIMA DA M?DIA '
3,-0.304088,1,A,B,'ACIMA DA M?DIA '
3,-1.361.409,1,A,A,'ACIMA DA M?DIA '
3,-1.356.592,1,A,C,'ACIMA DA M?DIA '
