ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,'CLASSIFICADOR IDEB'
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829328,1,1,13,6,1,DDB*BBBDACC,DBABCDCBAAC,DDCDCABBBBC,ACCCDCBDDDA,1,1,270430231,1.127.950.863,1.127.950.863,-1.586.306,0.369884,162.590.058,20.378.153,1,A,C,E,F,B,B,A,C,B,A,B,A,A,B,D,F,B,A,C,A,A,A,B,A,A,C,?,?,A,A,A,?,?,?,B,?,C,?,?,D,A,B,C,A,B,A,B,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829329,1,1,12,5,7,BCCDADDDCAC,AABDBDAADAA,BDCCCADCACB,BDCCABDBBAC,1,1,270430231,1.127.950.863,1.127.950.863,-1.318.334,0.405636,177.353.537,22.347.851,1,A,C,D,E,C,B,D,B,A,A,B,A,A,C,C,D,A,A,B,A,A,A,F,A,A,B,A,A,A,A,A,C,B,C,C,C,B,B,C,A,A,B,A,A,C,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829330,1,1,18,4,7,BDBADAADAAD,CACBBDAACAA,AAABCACCACC,DCABABDBCDB,1,1,270430231,1.127.950.863,1.127.950.863,-0.879342,0.379259,201.539.082,20.894.654,1,A,B,C,D,C,A,A,B,B,A,A,A,A,B,C,D,A,A,G,A,B,B,G,A,B,A,A,B,A,A,A,?,A,?,?,?,?,?,?,B,?,B,B,?,C,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829331,1,1,11,4,6,AAADABACBAB,DAABDCDAABA,AABDDBCAABC,ABACDAAABBA,1,1,270430231,1.127.950.863,1.127.950.863,-1.869.832,0.449114,146.969.657,24.743.201,1,B,F,L,C,B,A,A,B,B,B,A,A,A,B,B,D,A,A,A,A,A,A,D,A,A,A,A,A,A,A,A,B,B,A,A,A,B,A,B,A,E,B,A,A,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829332,1,1,4,4,5,BADCDBACBBB,BCCADACCCDA,AADABDCDACB,CBACCCDDAAA,1,1,270430231,1.127.950.863,1.127.950.863,-0.47481,0.371596,22.382.611,20.472.473,1,B,A,C,C,C,B,B,B,B,A,B,B,B,B,C,C,A,A,G,A,A,A,G,A,A,B,A,A,A,A,B,C,B,C,B,A,C,B,B,A,E,B,A,A,A,A,A,A,A,A,C,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829333,1,1,15,1,4,DBBACDDCDCB,BDDADAACADC,ABBBACCCBDD,AADAACDDCAC,1,1,270430231,1.127.950.863,1.127.950.863,-0.025609,0.351633,248.574.104,19.372.644,1,A,B,D,D,D,B,D,B,B,A,B,E,D,D,D,D,A,B,F,A,A,B,G,A,A,B,A,A,A,A,A,?,?,?,?,?,?,?,?,A,E,B,B,C,B,A,C,C,B,B,C,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829334,1,1,10,3,5,ADCBABABBCC,ADAABADADAA,BABDBBBCCBD,BBACAADDBCB,1,1,270430231,1.127.950.863,1.127.950.863,-1.566.361,0.454816,163.688.895,25.057.343,1,B,B,C,D,C,B,C,B,A,A,B,A,B,B,C,F,A,A,B,B,B,A,C,A,A,B,A,A,A,A,A,?,B,?,?,?,?,?,B,A,B,B,B,C,A,A,A,A,A,A,A,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829335,1,1,9,2,4,ACADADCDDBA,BCDADBAABDB,CAADDACBBCB,DADCCDDABCC,1,1,270430231,1.127.950.863,1.127.950.863,-0.97791,0.355391,19.610.864,19.579.685,1,B,B,B,C,?,C,A,B,B,B,B,A,A,B,B,C,A,B,G,A,A,C,A,?,B,A,A,A,A,A,A,B,A,B,A,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829336,1,1,19,5,1,ACCCDDBBDBA,DBBACBCDDAD,DBACCDDDABB,CBCACDCCBCD,1,1,270430231,1.127.950.863,1.127.950.863,-0.832532,0.367158,204.118.002,20.227.969,1,A,C,I,E,C,B,B,B,A,A,B,A,A,B,C,D,A,C,B,A,A,B,E,?,?,A,A,A,A,A,A,C,B,B,A,A,B,C,C,B,E,B,A,A,B,A,A,A,A,A,B,'ACIMA DA M?DIA '
2015,2,27,2704302,1,27036049,3,1,603815,1,5,17829337,1,1,4,4,5,BCDADBACCAB,BAADDAADABA,BAAAADCCCCC,CBACBDCDBDB,1,1,270430231,1.127.950.863,1.127.950.863,-0.625393,0.368908,215.529.987,20.324.382,1,A,B,A,D,D,B,B,B,B,A,B,A,A,C,C,B,A,B,D,A,A,B,B,A,A,A,A,A,A,A,A,?,A,?,?,?,?,B,?,B,B,B,A,A,B,A,A,A,A,A,B,'ACIMA DA M?DIA '
