ID_ESCOLA,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_LP,'RESULTADO IDEB',CONDICAO
27044270,2,604385,2,17847673,ABCCDDACCAADB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847674,ABCDDBCCBCDBD,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847675,CDCBBCBDDCABC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847676,ACBCCBBCCDABB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847677,BAACADCAAABAC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847678,.............,270915232,?,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847679,BAABDDBCCAABA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847680,BCBBCADCCDAAA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847681,.............,270915232,?,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847682,AADCBCAACBCBB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847683,AADCBCCACCCBB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847684,CDCBBDDBDBCAD,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847685,ACBBCBADBCACB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847686,CDADACACDCDAA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847687,ADABCBADCCCAB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847688,ADBBCBCDCCCCD,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847689,.............,270915232,?,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847690,BAACBAAADABBA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847691,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847692,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847693,CDADACBDCBBDA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847694,BCDBBDADACDBD,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847695,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847696,ABBCDDACCDDAB,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847697,ADBDAAACCDAAA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847698,CBBDBACCCDBDA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847699,ABCCDDACCCADA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847700,AADDBBCCADCDC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847701,AADABDBACADAC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847702,DDCDBDAADBCCA,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847703,ABCCDBACCBADC,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
27044270,2,604385,2,17847704,CCBDBCCDADCDD,270915232,1.031.250.000.000.000,5.8,'ACIMA DA MEDIA'
