ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847673,1,1,3,3,4,DCDDBCDDDBACA,BADDAACDBBDDB,CAADBCBCDDDAA,ABCCDDACCAADB,1,1,270915232,1.031.250.000.000.000,1.910.566.000.000.000,0.410114,356.750.362.000.000.000,22.922.226.000.000.000,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847674,1,1,13,6,1,BDCBDCBBBBDDC,BCBDCBAABBBCC,AAADBABDCBBBC,ABCDDBCCBCDBD,1,1,270915232,1.031.250.000.000.000,-1.106.775.000.000.000,0.665714,188.104.150.000.000.000,37.208.305.000.000.000,1,B,A,F,B,C,C,C,B,B,B,B,B,A,C,E,F,A,A,C,A,A,A,B,A,B,B,A,A,A,A,B,C,C,?,C,?,C,B,B,C,C,B,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847675,1,1,12,5,7,CADADCCACCCBA,CAABADCDDBABD,BDADACBCBAADA,CDCBBCBDDCABC,1,1,270915232,1.031.250.000.000.000,0.109980000000000,0.439041,256.111.419.000.000.000,24.539.024.000.000.000,1,A,C,F,C,B,A,B,B,B,A,A,A,A,B,C,E,A,A,G,A,A,A,G,?,?,B,A,A,A,A,A,C,B,B,A,C,A,C,B,B,B,A,D,E,B,C,A,B,A,A,B,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847676,1,1,15,1,4,BCBBCDABBBDBC,BAADCACDBBACB,CBDCCBCDBACAB,ACBCCBBCCDABB,1,1,270915232,1.031.250.000.000.000,0.027263000000000,0.425978,251.488.174.000.000.000,23.808.902.000.000.000,1,B,F,A,D,B,A,B,B,?,?,B,A,A,B,C,E,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,?,?,A,?,?,?,?,A,B,A,B,A,C,B,B,A,B,A,A,A,A,A,A,A,A,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847677,1,1,11,4,6,BACAAADDBBDAB,BDDBACBBBBCDB,ABDCDBBAACBDA,BAACADCAAABAC,1,1,270915232,1.031.250.000.000.000,-0.648555000000000,0.555128,213.715.132.000.000.000,31.027.396.000.000.000,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847678,1,0,8,1,3,.............,.............,.............,.............,0,1,270915232,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847679,1,1,5,5,6,BBAACACACCACB,BDCAACBBCADDA,ADABDCCDADBDB,BAABDDBCCAABA,1,1,270915232,1.031.250.000.000.000,-0.975265000000000,0.703787,195.454.550.000.000.000,39.336.294.000.000.000,1,A,B,B,C,B,A,B,B,A,A,A,A,A,B,D,E,A,A,D,A,A,B,G,B,B,B,A,A,A,A,B,C,B,B,C,B,C,C,B,C,B,B,D,E,B,A,A,B,A,B,C,A,A,B,A,C,D,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847680,1,1,10,3,5,DCDBACCDBBDCA,CBCABACACBACB,CBBDBADDADDCA,BCBBCADCCDAAA,1,1,270915232,1.031.250.000.000.000,-0.768813000000000,0.620578,206.993.633.000.000.000,34.685.549.000.000.000,1,B,B,C,C,C,D,C,B,B,B,B,B,A,C,E,F,A,A,B,A,A,A,?,A,A,B,A,A,A,A,B,B,A,C,B,A,A,B,B,C,C,A,E,A,B,A,A,B,A,A,A,B,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847681,0,0,16,2,5,.............,.............,.............,.............,0,1,270915232,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847682,1,1,11,4,6,BADDAADDBBDDB,BCCBBCBBBCADA,ABCCDDACCCADC,AADCBCAACBCBB,1,1,270915232,1.031.250.000.000.000,1.749.391.000.000.000,0.31828,347.741.916.000.000.000,17.789.410.000.000.000,1,B,B,G,C,B,B,B,B,B,A,A,A,A,B,D,D,A,A,D,A,A,A,D,A,A,A,A,A,A,A,A,B,B,C,B,A,A,B,B,B,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,B,C,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847683,1,1,17,3,6,ACBCADDDBDACA,DCBCDCBBADAAB,CACCDCCCDDDCA,AADCBCCACCCBB,1,1,270915232,1.031.250.000.000.000,0.739337000000000,0.529829,291.287.647.000.000.000,29.613.376.000.000.000,1,A,D,F,D,D,B,C,B,A,A,B,A,A,B,B,F,A,A,A,B,B,B,G,B,B,C,B,B,B,B,B,B,B,B,B,B,A,B,C,C,C,A,D,A,A,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
