ID_PROVA_BRASIL,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_PROVA,ID_CADERNO,ID_BLOCO_1,ID_BLOCO_2,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,IN_PROFICIENCIA,IN_PROVA_BRASIL,ESTRATO_ANEB,PESO_ALUNO_LP,PESO_ALUNO_MT,PROFICIENCIA_LP,DESVIO_PADRAO_LP,PROFICIENCIA_LP_SAEB,DESVIO_PADRAO_LP_SAEB,PROFICIENCIA_MT,DESVIO_PADRAO_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847700.284228,1,1,7.210123,2.260648,4,BDAADBAADACDA,BDACAAC.D.BBB,CCCAADAABB.CC,ABBCDDACCDDAB,1,1,270915232,1.031.250.000.000.000,1.031.250.000.000.000,-0.486155000000000,0.44164,223.201.076.000.000.000,23.465.365.000.000.000,0.600730000000000,0.441789,283.540.579.000.000.000,24.648.796.000.000.000,1,B,B,F,B,B,B,B,B,A,A,A,B,A,B,C,F,A,A,G,A,A,A,G,A,A,A,A,A,A,A,B,C,A,A,B,A,A,A,B,C,C,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044459,3,2,604416,2,9,17848727.37244,1,1,9.926761,3.932182,5.140247,DCDDBCDDDBABA,BCABACBBBDBDA,CBCDBABAACCDB,BABCDCAACAADD,1,1,270915232,1.166.666.666.700.000,1.166.666.666.700.000,1.626.490.000.000.000,0.39024,339.593.794.000.000.000,22.733.670.000.000.000,0.366322000000000,0.466328,270.438.970.000.000.000,22.782.160.000.000.000,1,A,B,A,C,B,B,B,B,A,A,A,A,A,B,C,E,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,C,A,B,C,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,B,C,5.1,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847677.403857,1,1,11,4,6,CADADCCACCCBA,CAABADCDDBABD,BDADACBCBAADA,CDCBBCBDDCABC,1,1,270915232,1.031.250.000.000.000,1.031.250.000.000.000,-0.153938000000000,0.365506,241.504.028.000.000.000,18.601.392.000.000.000,0.109980000000000,0.380395,256.111.419.000.000.000,24.539.024.000.000.000,0.828784,B,B,F,C,B,A,C,B,B,A,B,A,A,B,E,F,A,A,D,A,A,A,G,A,B,B,A,A,A,A,B,C,B,B,B,C,A,B,B,C,C,A,D,B,B,A,A,A,A,A,A,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044360,3,2,604415,3,9,17848697,1,1,19,5,1,CBBACDCDBCCCC,BABACDDDCDBAB,ACADAACDCDDDA,ACCBCBCDBDDDC,1,1,270915232,1.263.157.894.700.000,1.263.157.894.700.000,-0.130090000000000,0.374291,242.817.894.000.000.000,20.620.950.000.000.000,1.093.424.000.000.000,0.387024,311.078.394.000.000.000,21.631.672.000.000.000,1,A,F,I,E,B,A,B,B,A,A,A,A,A,B,C,E,A,A,G,B,B,B,G,B,B,B,A,A,A,A,A,B,A,C,C,C,A,C,A,B,C,B,E,E,A,B,A,A,A,A,A,A,A,A,A,B,C,4.8,'ABAIXO DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847702.96135,1,1,15.933111,1.708249,4.377472,DADDBCDDBBABA,CADACDCACCDCA,CDADBCCCDACAA,ADBDAAACCDAAA,1,1,270915232,1.031.250.000.000.000,1.031.250.000.000.000,1.093.457.000.000.000,0.347726,310.227.213.000.000.000,18.207.255.000.000.000,0.431906000000000,0.61684,274.104.613.000.000.000,22.580.221.000.000.000,1,A,F,H,C,B,B,B,B,B,A,A,B,A,B,C,F,A,A,A,A,B,A,G,A,A,A,A,A,A,A,A,C,C,B,B,A,A,A,B,C,B,B,A,A,B,B,A,A,A,A,A,A,A,A,A,B,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044289,3,1,604390,1,9,17847869,1,1,17,3,6,DAADBCDDDBACA,BBBBBCBBBABDA,CDCDBCCDDABAC,CBACACAACBBCD,1,1,270915231,1.125.000.000.000.000,1.125.000.000.000.000,1.044.090.000.000.000,0.340908,307.507.419.000.000.000,18.781.768.000.000.000,0.686943000000000,0.393963,288.359.224.000.000.000,22.019.509.000.000.000,1,A,B,L,D,B,C,B,C,A,A,A,A,A,C,E,D,A,B,B,A,B,C,G,A,B,A,A,B,A,A,B,C,A,A,B,A,C,B,A,C,C,C,D,E,B,C,A,A,A,A,B,B,A,A,A,A,C,4.8,'ABAIXO DA MEDIA'
2015,2,27,2709152,2,27044270,3,2,604385,2,9,17847691.048375,1,1,5.444229,4.563635,6.647258,CBDCABDBBBADB,ABDDAADDABADA,BBBABBBACBDCC,CCBADBCDBDDCC,1,1,270915232,1.031.250.000.000.000,1.031.250.000.000.000,0.155406000000000,0.37661,258.546.829.000.000.000,19.654.833.000.000.000,-0.024384000000000,0.316716,248.601.502.000.000.000,30.447.010.000.000.000,0.390549,B,A,F,B,C,B,B,B,A,A,B,A,A,C,D,F,A,A,G,A,A,A,B,A,A,B,A,A,A,A,A,B,B,B,B,A,A,B,B,C,C,A,A,E,B,B,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2015,2,27,2709152,2,27044289,3,1,604386,1,9,17847746,1,1,16,2,5,BDACBCCADADDC,CABAADCACBDCD,BDDCACAAACCBA,ACADAADCCBABD,1,1,270915231,1.088.235.294.100.000,1.088.235.294.100.000,0.152766000000000,0.345923,258.401.383.000.000.000,19.058.061.000.000.000,0.436382000000000,0.428748,274.354.787.000.000.000,23.963.724.000.000.000,1,B,A,I,C,C,B,B,B,A,A,B,B,B,B,D,E,C,A,F,A,A,A,E,A,A,A,A,A,A,A,A,C,A,B,C,C,C,C,C,C,B,A,D,B,B,B,A,A,A,A,B,A,A,B,A,B,C,4.8,'ABAIXO DA MEDIA'
2015,2,27,2709152,2,27044297,3,1,604392,1,9,17847937,1,1,9,2,4,CDAADDCADCDDA,CACDAADDBBADC,ADCBBAAAABDDD,CADCDBACCCADB,1,1,270915231,1.030.303.030.300.000,1.030.303.030.300.000,0.431772000000000,0.397243,273.772.761.000.000.000,21.885.453.000.000.000,0.859391000000000,0.391266,297.997.745.000.000.000,21.868.768.000.000.000,1,B,B,A,B,B,B,A,B,B,B,A,A,B,C,D,D,A,A,D,A,A,A,D,A,A,A,A,A,A,A,A,C,B,B,B,A,C,A,B,C,C,B,B,A,B,B,A,A,A,A,B,A,A,B,B,B,D,4.5,'ABAIXO DA MEDIA'
2015,2,27,2709152,2,27044360,3,2,604415,3,9,17848693,1,1,11,4,6,BABDAADDBBAAB,DCABACBBBCACB,CBBCDDACDBBCA,BADBCAAAABCBB,1,1,270915232,1.263.157.894.700.000,1.263.157.894.700.000,-0.006438000000000,0.377595,249.630.299.000.000.000,20.802.978.000.000.000,0.680230000000000,0.402446,287.984.019.000.000.000,22.493.644.000.000.000,1,?,F,D,F,B,B,A,B,A,A,A,A,B,B,D,E,A,A,B,A,A,B,B,B,B,B,A,A,A,A,A,C,B,B,B,C,B,A,C,B,B,B,E,E,A,B,A,B,A,?,B,B,A,B,B,D,C,4.8,'ABAIXO DA MEDIA'
