ID_AREA,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,ID_TURMA,ID_TURNO,ID_ALUNO,TX_RESP_BLOCO_1_LP,TX_RESP_BLOCO_2_LP,TX_RESP_BLOCO_1_MT,TX_RESP_BLOCO_2_MT,ESTRATO_ANEB,PESO_ALUNO_MT,PROFICIENCIA_MT,PROFICIENCIA_MT_SAEB,DESVIO_PADRAO_MT_SAEB,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q022,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q042,TX_RESP_Q047,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q057,'RESULTADO IDEB',CONDICAO
2,27044270,3,2,604385,2,17847673,DCDDBCDDDBACA,BADDAACDBBDDB,CAADBCBCDDDAA,ABCCDDACCAADB,270915232,1.031.250.000.000.000,1.910.566.000.000.000,356.750.362.000.000.000,22.922.226.000.000.000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847674,BDCBDCBBBBDDC,BCBDCBAABBBCC,AAADBABDCBBBC,ABCDDBCCBCDBD,270915232,1.031.250.000.000.000,-1.106.775.000.000.000,188.104.150.000.000.000,37.208.305.000.000.000,F,B,A,C,A,A,A,A,A,A,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847675,CADADCCACCCBA,CAABADCDDBABD,BDADACBCBAADA,CDCBBCBDDCABC,270915232,1.031.250.000.000.000,0.109980000000000,256.111.419.000.000.000,24.539.024.000.000.000,F,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847676,BCBBCDABBBDBC,BAADCACDBBACB,CBDCCBCDBACAB,ACBCCBBCCDABB,270915232,1.031.250.000.000.000,0.027263000000000,251.488.174.000.000.000,23.808.902.000.000.000,A,D,A,B,A,A,A,A,A,A,B,A,A,A,A,A,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847677,BACAAADDBBDAB,BDDBACBBBBCDB,ABDCDBBAACBDA,BAACADCAAABAC,270915232,1.031.250.000.000.000,-0.648555000000000,213.715.132.000.000.000,31.027.396.000.000.000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847678,.............,.............,.............,.............,270915232,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847679,BBAACACACCACB,BDCAACBBCADDA,ADABDCCDADBDB,BAABDDBCCAABA,270915232,1.031.250.000.000.000,-0.975265000000000,195.454.550.000.000.000,39.336.294.000.000.000,B,C,A,B,A,A,B,A,A,A,B,A,A,A,B,A,D,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847680,DCDBACCDBBDCA,CBCABACACBACB,CBBDBADDADDCA,BCBBCADCCDAAA,270915232,1.031.250.000.000.000,-0.768813000000000,206.993.633.000.000.000,34.685.549.000.000.000,C,C,A,C,A,A,A,A,A,A,A,A,B,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847681,.............,.............,.............,.............,270915232,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847682,BADDAADDBBDDB,BCCBBCBBBCADA,ABCCDDACCCADC,AADCBCAACBCBB,270915232,1.031.250.000.000.000,1.749.391.000.000.000,347.741.916.000.000.000,17.789.410.000.000.000,G,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847683,ACBCADDDBDACA,DCBCDCBBADAAB,CACCDCCCDDDCA,AADCBCCACCCBB,270915232,1.031.250.000.000.000,0.739337000000000,291.287.647.000.000.000,29.613.376.000.000.000,F,D,A,B,A,A,B,B,B,B,A,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847684,BBBDBDCACDBCC,BDDCBACDBCBBA,DCABABDCCADCB,CDCBBDDBDBCAD,270915232,1.031.250.000.000.000,-1.371.090.000.000.000,173.330.969.000.000.000,38.343.925.000.000.000,I,E,A,A,A,A,A,B,A,B,A,C,B,A,B,B,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847685,ABBCCBDDABADA,BCBACBBCDADDD,CBBADBCDBBDCC,ACBBCBADBCACB,270915232,1.031.250.000.000.000,1.565.931.000.000.000,337.487.910.000.000.000,21.909.066.000.000.000,H,C,A,B,A,A,A,A,A,A,C,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847686,CBDDACDDABCAA,DADBAADAABCDA,DAACACCACDDBC,CDADACACDCDAA,270915232,1.031.250.000.000.000,0.344169000000000,269.200.788.000.000.000,27.350.352.000.000.000,H,E,A,B,A,A,B,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847687,BDABBCBBBBCBA,BCBACDBCCCCDC,AACCBCBACBCCC,ADABCBADCCCAB,270915232,1.031.250.000.000.000,-0.243274000000000,236.367.231.000.000.000,31.538.699.000.000.000,J,C,B,C,A,A,A,A,B,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847688,CBDCABDBBBADB,BCBACDDBBACAB,BBBABBBACBDCC,ADBBCBCDCCCCD,270915232,1.031.250.000.000.000,-0.024384000000000,248.601.502.000.000.000,30.447.010.000.000.000,L,D,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847689,.............,.............,.............,.............,270915232,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847690,CABACDCACCCCA,BDCBBCBBBAACA,ADADACBDCBBAA,BAACBAAADABBA,270915232,1.031.250.000.000.000,1.121.264.000.000.000,312.634.436.000.000.000,18.806.930.000.000.000,A,B,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847691,BCCBBCBBBCADA,ABDDAADDABADA,AADCBCAACBCBB,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,1.865.052.000.000.000,354.206.479.000.000.000,16.605.219.000.000.000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847692,CAAACDCACCDAA,ABDDAADDABADA,CAADACBDCCADA,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,2.187.867.000.000.000,372.249.361.000.000.000,17.960.273.000.000.000,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847693,BADDAACDBBDDB,CBAACDCACCADD,ABCCDDACCAADA,CDADACBDCBBDA,270915232,1.031.250.000.000.000,1.983.729.000.000.000,360.839.613.000.000.000,19.231.879.000.000.000,K,D,A,C,B,A,A,A,A,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847694,CBDCABDDABABA,BBAADDCADDDDA,CCBADBCDBADBC,BCDBBDADACDBD,270915232,1.031.250.000.000.000,2.117.071.000.000.000,368.292.408.000.000.000,18.897.867.000.000.000,K,C,B,B,A,A,A,A,B,A,A,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847695,BADDAADDBBDDB,ABDBAADDDBABA,ABCCDDACCCADC,CCBADBCDBDDCC,270915232,1.031.250.000.000.000,2.272.320.000.000.000,376.969.636.000.000.000,21.050.672.000.000.000,H,C,B,B,A,A,A,A,A,A,B,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847696,BDAADBAADACDA,BDACAAC.D.BBB,CCCAADAABB.CC,ABBCDDACCDDAB,270915232,1.031.250.000.000.000,0.600730000000000,283.540.579.000.000.000,24.648.796.000.000.000,F,D,A,B,A,A,A,A,A,A,B,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847697,DADDBCDDBBABA,CADACDCACCDCA,CDADBCCCDACAA,ADBDAAACCDAAA,270915232,1.031.250.000.000.000,0.431906000000000,274.104.613.000.000.000,22.580.221.000.000.000,H,C,A,B,A,A,A,A,A,A,C,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847698,BDDDAADDBBDDB,CAAABDCACBCDD,AAACADACCACCD,CBBDBACCCDBDA,270915232,1.031.250.000.000.000,0.435421000000000,274.301.074.000.000.000,20.780.823.000.000.000,E,E,A,B,A,A,B,B,B,B,C,A,A,B,C,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847699,BDCADDCADCDDA,BADDAADDBADDC,CCDDBCAAACCDA,ABCCDDACCCADA,270915232,1.031.250.000.000.000,1.443.282.000.000.000,330.632.772.000.000.000,20.913.735.000.000.000,F,B,A,B,A,A,A,?,?,?,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847700,DCDDACDDBBACA,CACBDCBBBCDDA,ABBADAADCCDDA,AADDBBCCADCDC,270915232,1.031.250.000.000.000,-1.301.805.000.000.000,177.203.469.000.000.000,34.989.547.000.000.000,H,D,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847701,DADDBCDDDBACD,CDBDBADDCDBAB,CDADACACCCAAA,AADABDBACADAC,270915232,1.031.250.000.000.000,-0.552465000000000,219.085.826.000.000.000,28.627.268.000.000.000,F,C,A,B,A,A,A,A,A,A,C,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847702,DBDDAADDACDDD,BCDAABDDBACDB,BBDDDCDDBDDCD,DDCDBDAADBCCA,270915232,1.031.250.000.000.000,-0.202822000000000,238.628.187.000.000.000,33.575.863.000.000.000,H,C,?,?,A,A,A,A,A,A,A,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847703,BCBACDDCCCCDC,BACDBCDDBDCAB,DCCBADCDBCDAC,ABCCDBACCBADC,270915232,1.031.250.000.000.000,1.734.740.000.000.000,346.923.038.000.000.000,22.092.169.000.000.000,K,C,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847704,DCCDACBBBBCDA,CBDDBDDBDBCBA,BCBCAABACCBDA,CCBDBCCDADCDD,270915232,1.031.250.000.000.000,0.226896000000000,262.646.127.000.000.000,26.994.373.000.000.000,C,B,A,B,B,A,C,A,A,A,B,A,A,A,A,A,C,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847705,BACABDCADADDA,CCDDBDDDBBABD,ADCCBDAAACCBB,CBABCCACDCCDC,270915232,1.031.250.000.000.000,0.673832000000000,287.626.420.000.000.000,21.426.436.000.000.000,G,B,A,B,A,A,B,A,A,A,B,A,A,A,A,A,D,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847706,BACDCCACDCDDC,ACBABCBCCACCD,DCABCDCDBCCCC,CABDCCBCDDDDC,270915232,1.031.250.000.000.000,1.767.676.000.000.000,348.763.908.000.000.000,21.060.006.000.000.000,F,B,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847707,.............,.............,.............,.............,270915232,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.8,'ACIMA DA MEDIA'
2,27044270,3,2,604385,2,17847708,BDABBCBBBAACA,BDCBDCCADDABA,AADCBAAACBCAC,ABBDBCAACDDAD,270915232,1.031.250.000.000.000,0.494712000000000,277.614.986.000.000.000,27.689.395.000.000.000,C,C,A,B,A,A,B,A,A,A,B,A,A,A,B,A,C,5.8,'ACIMA DA MEDIA'
2,27044289,3,1,604386,1,17847709,BAAADCCADDADC,DBBDBBDDDBCCA,CDCBBDAABCDBD,CBADCAAADCCCA,270915231,1.088.235.294.100.000,0.049384000000000,252.724.568.000.000.000,26.049.681.000.000.000,B,B,B,B,A,A,A,A,A,A,B,B,A,B,B,B,A,4.8,'ABAIXO DA MEDIA'
2,27044289,3,1,604386,1,17847710,BCADCDDDACCAC,CCBCDDDDDBCCC,CCCBBBDDBCCBC,CCBDBCBCDCACB,270915231,1.088.235.294.100.000,1.030.594.000.000.000,307.566.679.000.000.000,21.342.709.000.000.000,C,B,B,B,A,A,C,A,A,A,A,A,?,?,D,A,A,4.8,'ABAIXO DA MEDIA'
