ID_PROVA_BRASIL,ID_UF,ID_MUNICIPIO,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111
2015,27,2704302,27036278,3,1,1,B,D,A,D,C,C,B,C,C,G,C,G,C,B,D,C,C,E,B,D,B,C,C,B,B,B,E,E,E,B,E,H,A,A,A,A,E,A,A,A,E,E,B,D,D,D,D,D,D,D,D,D,B,A,B,E,B,B,A,B,,C,C,D,B,B,A,B,B,D,B,A,A,A,A,B,B,A,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,A,A,B,B,A,B,C,C
2015,27,2704302,27225011,3,1,1,B,D,B,D,D,C,B,C,E,I,C,I,A,B,D,C,A,E,B,C,B,B,B,B,B,A,A,D,E,C,E,G,A,A,A,A,E,C,A,E,D,C,A,C,D,D,D,D,D,A,A,C,B,B,A,C,A,A,C,A,A,D,D,D,C,D,B,D,D,B,B,A,A,A,A,A,B,A,A,A,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C
2015,27,2704302,27225348,3,1,1,B,D,A,H,D,B,B,C,E,I,C,I,A,B,F,D,D,F,A,A,B,C,C,C,B,B,E,E,E,C,C,H,A,A,A,A,E,A,E,I,C,C,B,D,D,D,D,D,C,B,B,C,B,A,A,B,A,C,A,A,A,C,E,E,D,E,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,C,C
2015,27,2704302,27036065,3,1,1,A,D,B,H,D,C,B,C,E,F,A,I,C,B,G,C,C,F,B,D,B,C,B,B,C,B,E,E,E,B,D,H,A,A,A,A,C,A,E,F,C,D,B,C,D,D,D,D,B,C,C,C,B,B,B,C,C,C,A,B,B,C,D,D,D,D,C,A,A,A,B,A,A,B,A,B,A,A,A,A,B,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,B,A,B,B,B,A,B,C,C
2015,27,2704302,27226301,3,1,1,B,F,B,H,D,B,B,A,A,J,A,E,A,C,H,E,E,G,A,B,B,B,C,C,,A,A,A,E,C,C,D,A,A,A,A,E,A,D,E,D,D,A,C,C,D,D,D,B,B,C,C,B,B,A,B,A,A,A,B,A,D,D,D,B,D,B,D,A,B,A,D,A,B,B,B,A,A,A,A,A,B,A,B,A,B,A,B,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,C,C
2015,27,2704302,27230074,3,1,1,B,D,B,D,C,B,B,C,E,H,C,H,B,B,F,C,C,G,B,D,B,C,C,B,B,A,A,D,E,B,A,B,A,A,A,A,E,D,E,E,B,A,B,C,C,B,D,C,A,A,A,B,A,A,B,B,B,A,B,A,B,D,D,D,C,D,A,D,D,D,C,B,B,B,A,C,B,B,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,A,A,B,B,B,B,B,B,A,B,C,C
2015,27,2704302,27216977,3,1,1,B,F,C,D,C,C,C,C,E,I,C,J,D,E,G,D,D,G,B,C,A,A,A,A,A,A,A,E,E,B,E,H,A,A,A,A,E,D,A,A,A,C,A,C,D,D,D,D,A,C,A,C,B,B,A,E,B,C,A,A,A,C,D,D,C,D,D,C,C,A,A,A,C,C,A,C,A,A,B,A,B,B,A,B,A,B,B,A,A,B,A,B,B,B,B,B,A,B,B,A,A,A,B,A,A,A,A,A,B,C,C
2015,27,2704302,27230171,3,1,1,B,C,B,D,C,C,B,C,E,I,C,I,A,B,E,D,D,E,B,E,B,C,B,C,B,B,E,E,E,C,C,F,A,A,A,A,D,A,A,A,C,E,B,C,D,C,C,C,B,C,B,B,B,C,B,D,A,B,B,A,A,C,C,D,B,C,B,A,B,A,B,C,A,D,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,B,,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,A,A,B,C,C
2015,27,2704302,27230082,3,1,1,B,D,B,D,B,B,C,C,E,I,C,I,A,B,G,C,C,G,B,E,A,A,A,A,A,B,E,D,E,C,D,H,A,A,A,A,E,A,E,F,C,C,B,D,D,D,D,D,A,C,B,C,C,B,C,D,B,A,A,A,A,C,C,D,C,D,A,A,D,A,A,A,A,B,A,B,B,B,B,A,A,B,A,B,A,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,B,C,B
2015,27,2704302,27036049,3,1,1,B,E,B,H,C,B,B,C,E,J,C,,B,B,G,C,C,F,B,E,B,B,C,C,B,B,E,E,E,C,E,H,A,A,A,A,C,A,A,E,B,C,B,C,C,D,D,D,B,B,C,C,B,A,A,B,B,B,A,B,A,C,C,D,B,B,B,A,D,A,B,A,A,B,A,C,B,A,A,A,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,A,A,C,C,B
