ID_PROVA_BRASIL,ID_UF,ID_MUNICIPIO,ID_ESCOLA,ID_DEPENDENCIA_ADM,ID_LOCALIZACAO,IN_PREENCHIMENTO_QUESTIONARIO,TX_RESP_Q001,TX_RESP_Q002,TX_RESP_Q003,TX_RESP_Q004,TX_RESP_Q005,TX_RESP_Q006,TX_RESP_Q007,TX_RESP_Q008,TX_RESP_Q009,TX_RESP_Q010,TX_RESP_Q011,TX_RESP_Q012,TX_RESP_Q013,TX_RESP_Q014,TX_RESP_Q015,TX_RESP_Q016,TX_RESP_Q017,TX_RESP_Q018,TX_RESP_Q019,TX_RESP_Q020,TX_RESP_Q021,TX_RESP_Q022,TX_RESP_Q023,TX_RESP_Q024,TX_RESP_Q025,TX_RESP_Q026,TX_RESP_Q027,TX_RESP_Q028,TX_RESP_Q029,TX_RESP_Q030,TX_RESP_Q031,TX_RESP_Q032,TX_RESP_Q033,TX_RESP_Q034,TX_RESP_Q035,TX_RESP_Q036,TX_RESP_Q037,TX_RESP_Q038,TX_RESP_Q039,TX_RESP_Q040,TX_RESP_Q041,TX_RESP_Q042,TX_RESP_Q043,TX_RESP_Q044,TX_RESP_Q045,TX_RESP_Q046,TX_RESP_Q047,TX_RESP_Q048,TX_RESP_Q049,TX_RESP_Q050,TX_RESP_Q051,TX_RESP_Q052,TX_RESP_Q053,TX_RESP_Q054,TX_RESP_Q055,TX_RESP_Q056,TX_RESP_Q057,TX_RESP_Q058,TX_RESP_Q059,TX_RESP_Q060,TX_RESP_Q061,TX_RESP_Q062,TX_RESP_Q063,TX_RESP_Q064,TX_RESP_Q065,TX_RESP_Q066,TX_RESP_Q067,TX_RESP_Q068,TX_RESP_Q069,TX_RESP_Q070,TX_RESP_Q071,TX_RESP_Q072,TX_RESP_Q073,TX_RESP_Q074,TX_RESP_Q075,TX_RESP_Q076,TX_RESP_Q077,TX_RESP_Q078,TX_RESP_Q079,TX_RESP_Q080,TX_RESP_Q081,TX_RESP_Q082,TX_RESP_Q083,TX_RESP_Q084,TX_RESP_Q085,TX_RESP_Q086,TX_RESP_Q087,TX_RESP_Q088,TX_RESP_Q089,TX_RESP_Q090,TX_RESP_Q091,TX_RESP_Q092,TX_RESP_Q093,TX_RESP_Q094,TX_RESP_Q095,TX_RESP_Q096,TX_RESP_Q097,TX_RESP_Q098,TX_RESP_Q099,TX_RESP_Q100,TX_RESP_Q101,TX_RESP_Q102,TX_RESP_Q103,TX_RESP_Q104,TX_RESP_Q105,TX_RESP_Q106,TX_RESP_Q107,TX_RESP_Q108,TX_RESP_Q109,TX_RESP_Q110,TX_RESP_Q111
2015,27,2704302,27226999,3,1,1,B,D,B,D,D,B,B,C,E,G,C,G,B,B,D,D,D,F,B,D,B,C,C,C,C,B,E,D,E,B,A,A,A,A,A,A,E,D,E,I,E,E,A,D,D,D,C,D,A,A,A,C,B,A,A,C,A,A,A,A,B,C,C,D,B,C,C,A,D,A,B,B,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,B
2015,27,2704302,27038980,3,1,1,B,E,B,G,D,C,B,C,E,J,C,J,A,B,F,G,G,G,B,C,B,B,B,C,B,B,E,D,E,B,D,D,A,A,A,A,E,A,C,F,D,D,B,C,C,C,D,C,B,B,A,B,B,C,B,E,C,B,A,A,A,C,C,E,B,B,B,D,C,A,A,B,A,C,A,D,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,A,A,B,A,A,A,B,A,B,C,C
2015,27,2704302,27037800,3,1,1,B,D,A,G,E,B,B,C,E,E,A,G,B,B,H,D,D,G,A,A,B,C,B,C,C,B,D,D,E,B,E,F,A,A,B,B,B,D,D,A,C,C,B,D,C,C,C,C,A,B,B,C,B,B,B,E,C,C,A,B,A,C,C,C,B,B,A,B,C,A,A,A,C,D,A,D,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,C,C
2015,27,2704302,27224783,3,1,1,B,C,C,D,C,C,B,A,A,I,C,I,B,B,E,E,C,E,B,D,B,B,C,C,C,B,E,E,E,C,D,F,A,A,A,B,E,C,A,I,C,E,A,C,C,D,D,D,C,B,B,C,A,B,B,B,A,A,A,B,A,C,C,D,C,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,A,B,B,B,B,C,C
2015,27,2704302,27222900,3,1,1,A,D,A,H,B,B,B,C,E,I,A,J,B,B,G,C,C,E,B,B,A,A,C,C,C,B,E,C,E,B,E,D,A,A,A,A,D,B,A,I,C,D,B,C,D,C,C,C,A,B,C,C,D,B,A,E,B,A,A,B,A,E,E,E,C,C,A,D,B,A,A,A,A,A,C,B,,A,A,A,A,B,A,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,C,C
2015,27,2704302,27217221,3,1,1,B,D,B,D,C,C,B,A,A,I,C,,B,B,E,C,A,F,B,D,B,B,B,B,B,B,E,E,E,C,A,F,A,A,B,B,E,A,F,E,B,E,B,C,C,C,D,D,C,A,B,B,B,B,B,A,A,A,A,A,A,D,D,D,B,C,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,C,C
2015,27,2704302,27036154,3,1,1,B,F,A,D,E,C,B,C,E,J,C,J,B,B,E,D,D,G,A,A,A,A,C,C,B,A,A,E,E,B,E,F,A,A,B,B,E,B,A,A,C,C,B,C,D,C,C,C,A,A,A,A,B,A,A,C,B,A,A,A,A,D,E,E,C,C,A,A,A,A,A,A,A,A,A,D,B,A,B,A,A,B,A,A,,B,B,B,B,A,A,B,B,A,B,B,B,B,B,A,A,A,B,B,B,B,B,A,B,C,C
2015,27,2704302,27225542,3,1,1,B,F,B,H,C,B,B,C,E,I,C,J,A,B,F,E,E,G,B,C,B,B,C,B,B,B,E,B,E,B,D,H,A,A,A,A,E,B,A,I,C,E,B,C,C,C,C,B,B,B,B,B,B,C,C,E,B,B,A,A,A,C,C,E,E,D,B,B,C,A,A,C,A,A,C,B,A,A,A,A,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B,A,B,A,B,A,A,B,B,A,A,A,B,A,C,C,B
2015,27,2704302,27036138,3,1,1,B,F,B,D,E,C,D,A,A,J,C,J,B,B,H,C,C,G,B,D,B,B,B,B,B,A,E,D,E,B,E,F,A,A,A,A,E,A,E,F,C,C,B,C,C,C,D,B,B,B,B,C,D,C,B,D,B,B,B,C,B,D,D,D,E,C,A,B,A,B,A,A,A,C,A,C,B,A,A,A,A,B,A,B,A,D,A,B,A,B,B,B,B,B,B,B,B,B,B,A,,,,,A,A,A,A,B,B,C
2015,27,2704302,27036324,3,1,1,B,F,B,D,B,C,C,A,A,I,A,I,A,B,G,E,E,E,B,D,B,A,C,C,C,A,A,E,E,B,E,F,A,A,A,A,E,A,F,I,E,E,B,B,D,D,C,C,C,B,A,A,A,C,B,C,B,C,A,A,A,E,E,E,D,C,A,A,B,A,A,A,B,B,A,B,A,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C
