Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecadacao_Total,Ganhadores_15_N·meros,Cidade,UF,Ganhadores_14_N·meros,Ganhadores_13_N·meros,Ganhadores_12_N·meros,Ganhadores_11_N·meros,Valor_Rateio_15_N·meros,Valor_Rateio_14_N·meros,Valor_Rateio_13_N·meros,Valor_Rateio_12_N·meros,Valor_Rateio_11_N·meros,Acumulado_15_N·meros,Estimativa_Premio,Valor_Acumulado_Especial,outros1,outros2
18,20,25,23,10,11,24,14,6,2,13,9,5,16,3,0,5,7,BA,154,4645,48807,257593,49.765,82,689,84,10,4,2,0,0,0
23,15,5,4,12,16,20,6,11,19,24,1,9,13,7,0,1,1,SP,184,6232,81252,478188,596.323,70,1.388,95,10,4,2,0,0,0
20,23,12,8,6,1,7,11,14,4,16,10,9,17,24,0,2,3,SP,158,6897,96244,608211,400.623,70,2.173,36,10,4,2,0,0,0
16,5,25,24,23,8,12,2,17,18,1,10,4,19,13,0,1,RIO DE JANEIRO,MT,258,9569,123912,706657,902.226,2,1.498,72,10,4,2,0,0,0
15,13,20,2,11,24,9,16,4,23,25,12,8,19,1,0,2,CAXIAS DO SUL,BA,472,14736,195636,860992,380.017,55,687,49,10,4,2,0,0,0
23,19,1,5,7,21,16,10,15,25,6,2,12,4,17,0,2,12,MS,393,14242,162320,888301,489.140,6,1.066,83,10,4,2,0,0,0
22,4,15,8,16,14,21,23,12,1,25,19,7,10,18,0,9,GOI?NIA,RJ,1333,25878,206828,967358,104.625,29,301,59,10,4,2,0,0,0
19,16,18,9,13,8,5,25,17,10,6,15,1,22,20,0,1,GOI?NIA,RS,256,11414,149037,926910,1.201.958,8,2.012,21,10,4,2,0,0,0
21,4,17,5,3,13,16,9,20,24,25,19,11,15,10,0,3,GOI?NIA,BA,407,14973,213511,1104328,336.053,65,1.061,60,10,4,2,0,0,0
24,19,8,23,6,2,20,11,9,3,4,10,5,12,14,0,0,CORN?LIO PROC?PIO,DF,380,15767,207355,1186563,0,1.157,8,10,4,2,1.025.945,0,0,0
24,9,8,19,20,22,6,10,11,16,7,25,23,2,12,0,0,PAICANDU,GO,306,14249,216679,1343171,0,1.855,82,10,4,2,2.351.000,93,0,0
11,5,25,1,9,8,16,4,7,24,17,2,12,14,10,0,1,PORTO ALEGRE,GO,631,24400,322557,1607584,3.490.966,18,771,32,10,4,2,0,0,0
13,6,10,5,8,14,3,11,16,15,9,17,19,7,23,0,3,PORTO ALEGRE,MG,714,27399,320961,1501354,269.157,25,482,84,10,4,2,0,0,0
14,21,13,19,20,6,9,5,7,23,18,1,15,2,25,0,3,LAGARTO,RJ,444,15413,214582,1149506,411.362,89,1.191,21,10,4,2,0,0,0
23,6,21,4,10,24,16,1,15,2,8,19,12,18,25,0,22,S?O BERNARDO DO CAMPO,RJ,2059,38038,379994,1198158,27.525,68,125,58,10,4,2,0,0,0
24,17,5,8,7,12,13,2,15,10,19,25,23,21,6,0,9,S?O PAULO,RS,1086,29005,329409,1471908,83.935,77,296,98,10,4,2,0,0,0
13,20,17,1,6,7,2,14,5,9,16,19,3,21,18,0,1,S?O PAULO,SP,320,14425,232740,1083387,1.427.169,94,1.911,39,10,4,2,0,0,0
2,23,10,7,11,14,17,22,15,6,24,8,19,20,18,0,3,4,BA,309,12373,174339,1079894,487.887,61,2.030,5,10,4,2,0,0,0
15,17,10,23,11,24,13,14,6,2,8,5,20,16,7,0,10,Teresina,PR,818,23594,326913,1333412,82.040,5,428,2,10,4,2,0,0,0
4,9,8,24,16,20,3,17,18,19,7,6,23,14,10,0,9,Ribeir?o Preto,SP,931,19580,266087,1462294,122.882,4,507,17,10,4,2,0,0,0
5,2,1,22,19,8,24,4,25,23,18,20,14,11,16,0,3,Sorocaba,SP,316,13077,203475,1211951,530.990,23,2.160,45,10,4,2,0,0,0
13,15,5,9,7,10,1,3,22,2,25,14,6,4,12,0,1,3,GO,484,55372,152738,868693,1.081.149,89,957,34,10,4,2,0,0,0
10,11,5,19,18,14,6,4,20,1,8,3,12,16,17,0,1,ARTUR NOGUEIRA,PR,541,16248,215670,1187602,1.178.452,5,933,55,10,4,2,0,0,0
1,19,21,14,2,23,25,5,20,11,7,10,24,17,3,0,2,CORDEIR?POLIS,RJ,585,22453,258724,1286374,662.295,89,970,4,10,4,2,0,0,0
4,23,20,2,5,13,7,9,24,3,1,6,14,22,16,0,0,2,SP,417,16108,213231,1288117,0,1.437,73,10,4,2,1.398.910,67,0,0
19,11,7,16,8,21,5,10,20,13,23,9,17,14,22,0,3,SANTO ANDR?,RS,602,22397,317722,1659205,970.676,17,1.077,21,10,4,2,0,0,0
25,6,22,21,11,24,3,14,12,13,20,8,10,15,18,0,2,4,SP,466,15650,216827,1192912,811.005,39,1.491,73,10,4,2,0,0,0
18,21,11,7,9,3,20,16,14,12,13,17,1,19,10,0,2,APERIBE,SP,556,22300,307113,1363336,536.916,65,827,73,10,4,2,0,0,0
13,14,6,1,24,4,8,5,17,22,21,19,20,9,16,0,5,CASTILHO,DF,456,14375,181147,1203109,317.538,81,1.492,19,10,4,2,0,0,0
22,2,1,17,8,4,19,20,11,14,6,21,7,23,3,0,2,S?O BERNARDO DO CAMPO,DF,345,13480,184916,1136035,813.271,34,2.020,55,10,4,2,0,0,0
1,3,22,14,21,17,24,15,20,13,2,19,4,25,9,0,3,1,DF,250,13005,189635,1161305,503.451,70,2.589,18,10,4,2,0,0,0
10,14,9,16,15,7,22,6,4,2,1,17,23,11,20,0,2,2,ES,384,14060,199525,1175480,706.634,89,1.577,31,10,4,2,0,0,0
8,20,12,16,10,21,5,2,23,19,11,24,1,14,7,0,9,CAMPINAS,GO,1358,35450,328729,1417927,109.171,84,308,91,10,4,2,0,0,0
7,19,16,10,23,4,18,11,8,9,20,21,1,2,15,0,0,3,MG,407,16589,216210,1359006,0,1.381,20,10,4,2,1.311.675,1,0,0
12,1,13,23,19,21,17,11,22,6,25,16,14,5,4,0,1,PIRACICABA,MG,291,12750,191524,1338198,3.155.820,4,2.715,98,10,4,2,0,0,0
7,23,10,20,1,21,4,8,11,19,17,22,24,14,5,0,6,S?O PAULO,MG,1573,40526,453277,1414816,92.828,37,151,18,10,4,2,0,0,0
24,20,5,15,10,22,21,3,1,23,11,4,13,8,9,0,1,4,MT,283,11976,182815,1220504,1.371.528,32,2.077,2,10,4,2,0,0,0
14,13,8,16,1,10,3,7,15,25,9,2,24,6,22,0,0,CAMPINAS,PE,298,12361,181763,1122407,0,2.240,91,10,4,2,1.558.182,50,0,0
14,15,7,19,8,9,22,17,23,18,2,11,24,13,21,0,3,S?O PAULO,PR,915,31607,352332,1626512,888.003,60,516,10,4,2,0,0,0,0
10,17,16,12,14,24,8,7,5,20,21,1,13,2,22,0,9,S?O PAULO,PR,650,20792,266561,1331593,129.462,67,765,33,10,4,2,0,0,0
25,4,23,18,17,19,15,13,9,3,12,20,21,16,2,0,5,1,RJ,431,16555,218669,1304019,285.091,61,1.417,43,10,4,2,0,0,0
1,24,12,25,4,3,21,8,11,6,15,22,14,17,5,0,1,8,RJ,351,14288,205537,1065540,1.731.431,15,2.114,8,10,4,2,0,0,0
23,22,3,17,1,24,14,19,8,6,9,18,20,7,10,0,2,GOI?NIA,SP,448,31225,257520,1394077,550.553,79,1.053,36,10,4,2,0,0,0
23,21,12,19,5,4,6,13,14,10,3,18,24,11,25,0,0,GOI?NIA,SP,334,12675,172526,1140441,0,2.056,93,10,4,2,1.603.036,94,0,0
1,23,14,16,2,19,18,7,21,9,24,25,17,5,3,0,4,BELO HORIZONTE,SP,602,23232,353114,1591989,731.525,88,941,91,10,4,2,0,0,0
6,14,8,11,24,18,19,23,2,5,4,21,10,1,25,0,4,JUIZ DE FORA,SP,825,24898,340899,1460500,308.549,13,638,71,10,4,2,0,0,0
6,8,25,18,20,5,11,10,15,13,4,22,3,2,1,0,16,CAMET?,SP,933,25668,259783,1267303,94.685,43,693,26,10,4,2,0,0,0
15,6,21,20,2,17,5,23,11,7,13,16,18,19,22,0,2,RIO DE JANEIRO,SP,331,13606,193466,1299636,777.343,31,2.012,97,10,4,2,0,0,0
11,2,24,8,20,16,4,13,19,6,15,22,5,23,21,0,0,FORQUILHINHA,SP,673,22438,282506,1269761,0,806,10,4,2,1.265.682,65,0,0,0
2,3,7,25,21,23,10,1,13,11,20,6,12,19,9,0,1,4,SP,659,21583,298054,1545777,2.776.089,1,982,27,10,4,2,0,0,0
8,1,13,14,5,22,21,7,6,23,3,17,20,11,16,0,2,S?O THOM? DAS LETRAS,AL,765,22722,302341,1520867,545.229,30,608,58,10,4,2,0,0,0
25,4,16,2,15,21,12,9,11,8,24,23,1,13,22,0,3,SALTO,DF,420,24265,205595,1156747,532.065,25,1.628,77,10,4,2,0,0,0
23,3,7,17,20,14,12,2,18,24,6,1,11,9,19,0,4,S?O PAULO,MG,564,19767,262234,1425498,269.887,95,820,33,10,4,2,0,0,0
22,8,12,9,21,5,20,4,24,2,7,6,14,16,18,0,27,4,MG,2269,40058,272073,1157000,46.149,84,234,47,10,4,2,0,0,0
4,6,12,15,2,3,13,16,8,9,7,25,5,18,19,0,6,SANTA B?RBARA DO LESTE,PR,682,24083,253488,1334310,213.174,74,803,76,10,4,2,0,0,0
19,1,5,14,16,15,17,2,13,22,20,12,23,9,24,0,0,GUARATINGUETA,PR,401,17323,225472,1396834,0,1.427,28,10,4,2,1.335.461,47,0,0
25,17,8,11,3,6,19,22,21,7,20,1,4,12,2,0,1,S?O PAULO,RO,571,33796,229355,1390034,3.278.857,27,1.458,64,10,4,2,0,0,0
20,14,11,13,19,18,15,16,5,3,6,12,17,22,4,0,6,4,RS,559,17361,165098,1095964,294.482,82,1.354,64,10,4,2,0,0,0
6,8,14,1,23,20,3,15,25,11,5,7,13,10,19,0,2,PRINCESA ISABEL,SP,662,27187,351810,1707263,439.884,44,567,39,10,4,2,0,0,0
17,22,16,5,3,2,18,8,25,11,1,19,4,23,24,0,3,CAMPINAS,SP,362,30873,165747,1022631,485.556,53,1.724,55,10,4,2,0,0,0
4,15,1,23,9,14,12,11,13,19,25,16,22,5,20,0,2,PALMAS,MT,300,14553,253317,1311870,698.017,29,1.994,34,10,4,2,0,0,0
9,7,1,13,20,11,3,17,25,8,14,16,15,18,24,0,5,5,RJ,432,19513,234116,1336449,282.087,66,1.399,25,10,4,2,0,0,0
13,19,22,17,10,4,25,9,24,8,16,11,21,12,20,0,2,GOI?NIA,TO,379,15221,209528,1301392,870.856,42,1.969,52,10,4,2,0,0,0
13,1,10,6,25,23,14,9,7,2,18,8,20,3,17,0,4,VENTANIA,GO,525,20308,280806,1586899,323.455,35,1.056,18,10,4,2,0,0,0
23,19,10,7,1,17,4,2,22,16,21,15,20,18,25,0,0,RIO DE JANEIRO,MG,300,13067,218281,1147456,0,2.735,19,10,4,2,1.914.633,24,0,0
8,10,23,17,11,20,2,14,21,22,15,16,24,4,1,0,8,S?O PAULO,MG,834,25470,309390,1631513,434.105,49,800,73,10,4,2,0,0,0
7,24,13,20,16,5,21,12,11,8,15,22,23,10,9,0,4,3,MT,294,12324,205063,1212285,394.429,73,2.299,88,10,4,2,0,0,0
9,1,25,16,6,3,5,22,7,12,8,10,2,17,23,0,2,1,PA,368,14579,211030,1291340,853.689,74,1.988,41,10,4,2,0,0,0
23,7,11,15,4,17,20,8,9,24,1,18,21,10,19,0,4,0,PI,619,34720,283047,1543014,296.233,16,820,4,10,4,2,0,0,0
14,5,9,24,6,15,12,19,20,1,2,25,16,10,3,0,6,3,RJ,611,19413,230116,1265554,264.323,93,1.112,42,10,4,2,0,0,0
13,3,22,5,1,21,23,6,8,11,15,18,14,16,9,0,4,BAURU,SP,744,21490,276234,1289869,349.187,58,804,58,10,4,2,0,0,0
2,16,5,25,23,11,18,13,24,15,1,7,8,12,17,0,2,SANTA MARIA DA SERRA,SP,485,16561,198957,1178585,571.665,39,1.010,31,10,4,2,0,0,0
25,17,18,2,16,19,15,13,14,5,21,11,7,1,10,0,3,9,SP,401,16615,240646,1388168,404.461,66,1.296,82,10,4,2,0,0,0
8,25,3,1,2,22,16,4,5,15,6,18,13,23,11,0,7,NAZ?RIO,BA,861,36320,325482,1342101,165.704,35,575,18,10,4,2,0,0,0
10,8,3,16,7,25,20,4,13,6,11,15,17,5,1,0,2,BEL?M,MA,564,22764,330303,1538522,531.264,65,807,39,10,4,2,0,0,0
15,5,12,10,19,16,21,17,25,9,13,1,23,8,3,0,13,RIO DE JANEIRO,MG,2705,63452,463129,1672037,49.566,81,101,71,10,4,2,0,0,0
6,20,4,9,11,17,3,8,2,21,24,14,22,25,18,0,4,MOSSOR?,MS,742,21609,228257,1213259,434.837,87,1.004,63,10,4,2,0,0,0
15,5,17,23,1,8,7,20,16,6,12,18,3,2,13,0,1,Aracaju,MS,643,23291,317982,1617133,1.007.644,94,669,6,10,4,2,0,0,0
15,14,17,2,22,24,5,23,20,9,12,18,25,1,3,0,1,EMBU,PA,443,17526,230930,1249856,1.429.789,18,1.383,22,10,4,2,0,0,0
17,22,25,7,20,3,18,10,4,1,14,9,2,5,15,0,1,PRAIA GRANDE,PE,502,19706,292151,1294632,1.387.219,92,1.184,31,10,4,2,0,0,0
13,2,7,19,17,15,1,4,6,21,3,11,5,16,10,0,6,Ribeir?o Preto,PR,866,29787,387171,1619963,160.734,67,475,46,10,4,2,0,0,0
4,8,19,12,23,17,13,20,1,18,6,15,5,22,9,0,4,0,SP,636,20746,250768,1418972,378.128,77,1.019,22,10,4,2,0,0,0
23,10,25,20,14,3,1,6,2,11,8,13,12,24,5,0,3,4,BA,505,19766,290953,1615749,370.701,93,943,79,10,4,2,0,0,0
15,22,8,25,6,4,16,1,2,24,19,20,17,23,12,0,2,BRAS?LIA,GO,525,21813,263703,1419482,729.194,11,1.190,52,10,4,2,0,0,0
1,2,11,21,16,8,23,7,18,22,14,15,5,13,9,0,13,CASCAVEL,RJ,988,41716,303054,1673514,86.488,60,485,87,10,4,2,0,0,0
13,19,12,18,5,6,9,24,23,4,17,8,25,2,14,0,14,LIMEIRA,BA,1437,33924,344925,1583126,81.060,95,337,18,10,4,2,0,0,0
11,3,18,25,5,24,13,8,15,10,9,22,1,2,20,0,14,0,SE,1308,46044,353024,1711252,62.917,54,287,52,10,4,2,0,0,0
8,10,18,24,11,1,17,2,25,9,14,19,12,4,5,0,5,8,RJ,853,30153,318718,1383793,257.018,77,643,22,10,4,2,0,0,0
23,16,1,12,21,25,17,19,13,20,24,15,6,11,22,0,2,CACHOEIRO DE ITAPEMIRIM,RO,528,59274,230638,1266634,858.145,42,1.393,10,10,4,2,0,0,0
22,10,11,8,17,20,23,3,21,1,15,25,2,12,24,0,4,LUZI?NIA,PE,525,17979,236987,1539050,400.382,66,1.307,37,10,4,2,0,0,0
16,23,1,25,22,14,9,13,11,10,12,15,4,20,17,0,2,S?O GABRIEL DO OESTE,SP,428,23937,203510,1341264,880.833,62,1.764,2,10,4,2,0,0,0
17,6,4,1,8,15,2,19,14,13,12,18,21,24,22,0,5,ARA?ATUBA,SP,714,22604,257642,1433995,290.246,68,871,9,10,4,2,0,0,0
4,24,7,17,9,13,18,20,5,6,10,21,2,19,23,0,6,Ribeir?o Preto,DF,480,18433,230658,1352474,271.483,43,1.454,37,10,4,2,0,0,0
21,9,13,12,11,15,4,22,24,16,8,18,23,2,17,0,2,SANTOS,SP,573,29882,267884,1577059,694.861,30,1.039,43,10,4,2,0,0,0
10,4,18,22,1,3,20,19,17,2,15,5,11,12,14,0,2,SANTOS,GO,401,20787,231813,1294859,883.199,51,1.887,85,10,4,2,0,0,0
9,17,24,6,16,10,23,18,14,19,4,3,12,21,22,0,1,7,MT,454,16790,220370,1209732,1.793.190,45,1.692,75,10,4,2,0,0,0
4,10,13,22,17,3,23,24,12,14,15,25,19,20,6,0,4,CATAGUASES,CE,539,19062,237912,1490877,379.485,48,1.206,95,10,4,2,0,0,0
24,17,15,25,8,18,22,6,1,11,23,20,5,2,10,0,5,S?O MIGUEL DO OESTE,MG,1089,31800,376336,1625070,238.130,55,466,8,10,4,2,0,0,0
4,7,24,25,20,14,1,2,10,16,17,11,21,13,3,0,4,SANTANA DE PARNA?BA,RJ,695,19351,227907,1278734,424.895,89,1.048,5,10,4,2,0,0,0
11,22,14,25,10,8,23,13,4,16,17,9,3,12,1,0,6,S?O PAULO,RS,547,39008,241845,1371980,251.438,56,1.182,0,10,4,2,0,0,0
